drug,concentration_um,diluent ,class,big_class,Compound
2_4_D,751.31,DMSO,Herbicide,Herbicide,Toxicant
Aldicarb,156.25,DMSO,Carbamate_Insecticide,Insecticide,Toxicant
Arsenic_trioxide,242.26,Water,Metal,Metal,Toxicant
Atrazine,510.2,DMSO,Herbicide,Herbicide,Toxicant
Bacterial_dilution,0.6,Water,Food,Food,Toxicant
Cadmium_dichloride,100,Water,Metal,Metal,Toxicant
Carbaryl,262.14,DMSO,Carbamate_Insecticide,Insecticide,Toxicant
Carboxin,538.66,DMSO,Fungicide,Fungicide,Toxicant
Chlorfenapyr,0.62,DMSO,Pro-Insecticide,Insecticide,Toxicant
Chlorothalonil,111.11,DMSO,Fungicide,Fungicide,Toxicant
Chlorpyrifos,2.7,DMSO,Organophosphate_Insecticide,Insecticide,Toxicant
Copper_chloride,100,Water,Metal,Metal,Toxicant
Lead_nitrate,49.74,Water,Metal,Metal,Toxicant
Malathion,790.12,DMSO,Organophosphate_Insecticide,Insecticide,Toxicant
Mancozeb,102.4,DMSO,Fungicide,Fungicide,Toxicant
Methomyl,50,DMSO,Carbamate_Insecticide,Insecticide,Toxicant
Methyl_mercury,15.62,DMSO,Metal,Metal,Toxicant
Nickel_dichloride,100,Water,Metal,Metal,Toxicant
Paraquat_62_5,62.5,Water,Herbicide,Herbicide,Toxicant
Paraquat_250,250,Water,Herbicide,Herbicide,Toxicant
Propoxur,195.09,DMSO,Carbamate_Insecticide,Insecticide,Toxicant
Pyraclostrobin,93.75,DMSO,Fungicide,Fungicide,Toxicant
Silver_nitrate_250,250,Water,Metal,Metal,Toxicant
Silver_nitrate_7_8,7.8,Water,Metal,Metal,Toxicant
Triphenyl_phosphate_6_25,6.25,DMSO,Flame_Retardant,Flame_Retardant,Toxicant
Triphenyl_phosphate_50,50,DMSO,Flame_Retardant,Flame_Retardant,Toxicant
Zinc_dichloride,50,Water,Metal,Metal,Anthlemintic
Monepantel_LY3348298_0_023,23,DMSO,AAD,AAD,Anthlemintic
Monepantel_LY3348298_0_55,0.55,DMSO,AAD,AAD,Anthlemintic
Albendazole,10.65,DMSO,BZ,BZ,Anthlemintic
Benomyl,20.66,DMSO,BZ,BZ,Anthlemintic
Fenbendazole,10.65,DMSO,BZ,BZ,Anthlemintic
Mebendazole,48,DMSO,BZ,BZ,Anthlemintic
Ricobendazole,25,DMSO,BZ,BZ,Anthlemintic
Thiabendazole,92.99,DMSO,BZ,BZ,Anthlemintic
Emodepside,0.15,DMSO,cyclooctadepsipeptide,cyclooctadepsipeptide,Anthlemintic
Closantel,9.4,DMSO,halogenated_salicylanilide,halogenated salicylanilide,Anthlemintic
Abamectin,0.0023,DMSO,ML,ML,Anthlemintic
Doramectin,0.008,DMSO,ML,ML,Anthlemintic
Eprinomectin,0.07,DMSO,ML,ML,Anthlemintic
Ivermectin,0.018,DMSO,ML,ML,Anthlemintic
Moxidectin,0.0033,DMSO,ML,ML,Anthlemintic
Milbemycin,0.21,DMSO,ML,ML,Anthlemintic
Selamectin,0.26,DMSO,ML,ML,Anthlemintic
Zoetis_0007437,0.1875,DMSO,ML,ML,Anthlemintic
Zoetis_00507244,9.7778,DMSO,ML,ML,Anthlemintic
Zoetis_7027178,22,DMSO,ML,ML,Anthlemintic
Zoetis_7027187,21.12,DMSO,ML,ML,Anthlemintic
Levamisole,27.27,DMSO,nAChR,nAChR,Anthlemintic
Morantel,41.25,DMSO,nAChR,nAChR,Anthlemintic
Pyrantel_cytrate_9_38,9.38,DMSO,nAChR,nAChR,Anthlemintic
Pyrantel_cytrate_37_5,37.5,DMSO,nAChR,nAChR,Anthlemintic
Cry5B,22,Water,protein,protein,Anthlemintic
Ivermectin_0_008,0.018,DMSO,ML,ML,Anthlemintic
